الخصخصة سرقه في وضح النهار من الشعب الكهرباء ملك الشعب وليس لحكومة والتجارة بها [[PHOTO]],0
زين المليارات الي انصرفت عليها من سنة ???? لحد ???? وينها هذنيج نزلتوها بجيبوكم كلكم حراميه ولا واحد شريف بيكم,0
إلى الجحيم وبئس المصير,0
ولكم ذوله راح ينهبونه رسمي نهبو خيرات  االعراق  وردو  عليننهه,0
تعبونه  هولاء الحراميه,0
هههههه مي يمتة وداعش تفوق اضعاف قوة البيشمركة وهي الوحيدة إلي ضلت حارب صكاركم صدام لما انعدم جنت بوكتها هربان لايرانك,0
عسى نارهم تاكل حطبهم مل الشعب من هذه التصريحات الرنانة,0
والله مايتحصل من ذوله شئ تلكه راتب 150 واذا تحجي ويا يكولك جاي تخدم مذهب,0
كلامك صحيح لو سياسي الشيعه أخذوا الحكم وهما قادوا البلد مجان صار هيج نماذج تحجي بس ما كو قائد شيعي مخلص للبلد والمذهب. كلهم انبطاحيين,0
هم خلوه التحالف ايشوف طريقه لو يوميه عشرين مفخخه ولما حكم داعش اوصفكوله صار النكاح بالشوارع,0
خطيه مشاركين ب 69 مليار خمط,0
صح كلامه لأن ولا واحد من البرلمانيين فاد حتى لو ناس منطقته بلط شارع أقلها ابد طلعت وجوهم الحقيقيه وفادو نفسهم فقط وبالطبع واحد مثل هذا يتكلم وبكل برود,0
سارق اموال النازحين,0
سيد دخيل جدك شوف شعبك اشجاي يصير بيه من ظلم وانته رايح لوربا,0
هذا مثل اليخوط بصف الاستكان,0
بسببكم هربنا من بلداننا فلا تتدخلو باشياء لاتخصكم الله ينتقم منكم وياخذ حقنا منكم,0
حوبة الفقرة,0
يمهل ولايهمل,0
الله عله اظالم,0
إن الله يمهل ولا يهمل,0
طبة طوب,0
طبة الف مرض,0
لا تخاف كل واحد اذه الشعب العراقي الله يخلي بي مرض ان شاء الله كلهم سرطان,0
انا من المجرمين منتقمون,0
مال الحرام ما يدوم الله يمهل ولا يهمل,0
حسبنا الله ونعم الوكيل عليهم فرداً فردا,0
موت الجلاب مقدما,0
ربك هاي اموال الفقره,0
